Cp	T
1.007	33
1.007	33.33
1.007	33.67
1.006	34
1.006	34.34
1.006	34.67
1.006	35.01
1.006	35.34
1.006	35.68
1.006	36.01
1.006	36.35
1.005	36.68
1.005	37.02
1.005	37.35
1.005	37.69
1.005	38.02
1.005	38.35
1.005	38.69
1.005	39.02
1.005	39.36
1.004	39.69
1.004	40.03
1.004	40.36
1.004	40.7
1.004	41.03
1.004	41.37
1.004	41.7
1.004	42.04
1.004	42.37
1.003	42.71
1.003	43.04
1.003	43.37
1.003	43.71
1.003	44.04
1.003	44.38
1.003	44.71
1.003	45.05
1.003	45.38
1.003	45.72
1.003	46.05
1.002	46.39
1.002	46.72
1.002	47.06
1.002	47.39
1.002	47.73
1.002	48.06
1.002	48.39
1.002	48.73
1.002	49.06
1.002	49.4
1.002	49.73
1.002	50.07
1.002	50.4
1.002	50.74
1.001	51.07
1.001	51.41
1.001	51.74
1.001	52.08
1.001	52.41
1.001	52.75
1.001	53.08
1.001	53.41
1.001	53.75
1.001	54.08
1.001	54.42
1.001	54.75
1.001	55.09
1.001	55.42
1.001	55.76
1.001	56.09
1	56.43
1	56.76
1	57.1
1	57.43
1	57.77
1	58.1
1	58.43
1	58.77
1	59.1
1	59.44
1	59.77
0.9999	60.11
0.9999	60.44
0.9999	60.78
0.9998	61.11
0.9998	61.45
0.9997	61.78
0.9997	62.12
0.9996	62.45
0.9996	62.79
0.9996	63.12
0.9995	63.45
0.9995	63.79
0.9995	64.12
0.9994	64.46
0.9994	64.79
0.9993	65.13
0.9993	65.46
0.9993	65.8
0.9992	66.13
0.9992	66.47
0.9992	66.8
0.9991	67.14
0.9991	67.47
0.9991	67.81
0.9991	68.14
0.999	68.47
0.999	68.81
0.999	69.14
0.9989	69.48
0.9989	69.81
0.9989	70.15
0.9989	70.48
0.9988	70.82
0.9988	71.15
0.9988	71.49
0.9988	71.82
0.9987	72.16
0.9987	72.49
0.9987	72.83
0.9987	73.16
0.9986	73.49
0.9986	73.83
0.9986	74.16
0.9986	74.5
0.9986	74.83
0.9985	75.17
0.9985	75.5
0.9985	75.84
0.9985	76.17
0.9985	76.51
0.9984	76.84
0.9984	77.18
0.9984	77.51
0.9984	77.85
0.9984	78.18
0.9984	78.52
0.9983	78.85
0.9983	79.18
0.9983	79.52
0.9983	79.85
0.9983	80.19
0.9983	80.52
0.9983	80.86
0.9982	81.19
0.9982	81.53
0.9982	81.86
0.9982	82.2
0.9982	82.53
0.9982	82.87
0.9982	83.2
0.9982	83.54
0.9981	83.87
0.9981	84.2
0.9981	84.54
0.9981	84.87
0.9981	85.21
0.9981	85.54
0.9981	85.88
0.9981	86.21
0.9981	86.55
0.9981	86.88
0.9981	87.22
0.9981	87.55
0.998	87.89
0.998	88.22
0.998	88.56
0.998	88.89
0.998	89.22
0.998	89.56
0.998	89.89
0.998	90.23
